critics_pick,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
False,1618,1733,2206,2212,2059,1901,1681,1931,2220,2453,2014,1738
True,196,212,276,248,253,257,239,249,305,325,276,291
