Words,Rank,Frequency
earnest,471,92
center,472,92
face,473,92
lovers,474,92
known,475,92
talk,476,92
childhood,477,91
bright,478,91
pair,479,91
third,480,91
affair,481,91
period,482,91
works,483,91
free,484,91
tv,485,90
line,486,90
voice,487,90
color,488,90
silly,489,90
girlfriend,490,89
stuff,491,89
c,492,89
england,493,89
single,494,89
leads,495,89
grand,496,89
hand,497,89
helps,498,89
earth,499,88
several,500,88
idea,501,88
ways,502,88
piece,503,88
opera,504,88
water,505,88
filmed,506,88
computer,507,88
material,508,88
sci,509,88
camp,510,88
force,511,87
head,512,87
score,513,87
trip,514,87
pleasant,515,87
spoof,516,87
wild,517,87
save,518,87
attempt,519,87
instead,520,87
era,521,87
chronicles,522,87
rise,523,87
bank,524,87
cross,525,86
give,526,86
violent,527,86
acting,528,86
east,529,86
trouble,530,86
touching,531,85
popular,532,85
state,533,85
spy,534,85
form,535,85
gripping,536,85
fight,537,85
production,538,84
probably,539,84
diverting,540,84
n,541,84
officer,542,84
body,543,84
examines,544,84
start,545,84
thin,546,83
civil,547,83
france,548,83
dreams,549,83
final,550,83
space,551,83
heist,552,83
jean,553,83
others,554,83
loves,555,82
filmmaking,556,82
students,557,82
company,558,82
female,559,82
lively,560,82
moves,561,82
despite,562,81
uneven,563,81
poor,564,81
disney,565,81
male,566,81
teen,567,81
brings,568,81
brooklyn,569,81
easy,570,81
con,571,81
lover,572,81
noir,573,81
china,574,81
visual,575,81
urban,576,80
party,577,80
handsome,578,80
ben,579,80
clever,580,80
adapted,581,80
f,582,80
smart,583,80
red,584,80
although,585,80
van,586,79
vietnam,587,79
central,588,79
texas,589,79
songs,590,79
race,591,79
modest,592,79
irish,593,79
psychological,594,79
sharp,595,79
strictly,596,79
mission,597,78
dramatic,598,78
boss,599,78
anti,600,78
jim,601,78
wartime,602,78
anything,603,78
sets,604,78
bill,605,78
project,606,78
script,607,78
language,608,77
air,609,77
forced,610,77
suggests,611,77
use,612,77
post,613,77
act,614,77
flat,615,77
mind,616,77
strained,617,76
charm,618,76
always,619,76
epic,620,76
troubled,621,76
law,622,76
train,623,76
screenplay,624,76
fable,625,76
contrived,626,76
say,627,75
eyes,628,75
hilarious,629,75
fairy,630,75
triangle,631,75
let,632,75
gang,633,75
sisters,634,75
mysterious,635,75
future,636,75
starts,637,75
leaves,638,75
journey,639,75
entertainment,640,75
serious,641,75
taken,642,75
inspired,643,74
haunting,644,74
fascinating,645,74
blue,646,74
tone,647,74
tour,648,74
lawrence,649,74
whodunit,650,74
older,651,74
across,652,74
witty,653,74
struggle,654,74
born,655,73
graphic,656,73
military,657,73
reporter,658,73
serial,659,73
nearly,660,73
atmospheric,661,73
detective,662,73
meet,663,73
professional,664,72
jokes,665,72
hotel,666,72
setting,667,72
intelligent,668,72
brutal,669,72
canadian,670,72
